date,OP,CP,HP,LP,DF,RD,TV,TC,TO
2017-06-08,39.9,39.81,39.9,39.81,-0.29,-1,1543000,52,61453920
2017-06-09,39.83,39.81,39.83,39.78,0.0,0,2264000,69,90110840
2017-06-12,39.69,39.74,39.75,39.69,-0.07,-1,1677000,41,66579360
2017-06-13,39.73,39.75,39.75,39.73,0.01,1,1130000,38,44904830
2017-06-14,39.84,39.91,39.92,39.84,0.16,1,1268000,24,50568770
2017-06-15,40.4,40.56,40.58,40.39,0.65,1,810000,21,32842590
2017-06-16,40.46,40.64,40.64,40.46,0.08,1,1834000,41,74311840
2017-06-19,40.65,40.59,40.66,40.54,-0.05,-1,1575000,27,63944600
2017-06-20,40.62,40.63,40.63,40.6,0.04,1,2177000,39,88434890
2017-06-21,41.02,41.11,41.12,41.02,0.48,1,1921000,26,78850110
2017-06-22,41.18,41.22,41.22,41.18,0.11,1,1750000,23,72095000
2017-06-23,41.19,41.16,41.21,41.14,-0.06,-1,2060000,34,84838000
2017-06-26,41.07,41.07,41.13,41.04,-0.09,-1,1421000,135,58332470
2017-06-27,41.21,41.23,41.23,41.18,0.16,1,1750000,32,72097600
2017-06-28,40.89,40.85,40.95,40.85,-0.38,-1,2733000,44,111779170
2017-06-29,40.69,40.64,40.69,40.64,-0.21,-1,1920000,18,78082800
2017-06-30,40.44,40.32,40.44,40.32,-0.32,-1,1920000,19,77552800
2017-07-03,40.16,40.18,40.2,40.15,-0.14,-1,2020000,21,81170100
2017-07-04,40.13,40.22,40.22,40.13,0.04,1,1961000,22,78770930
2017-07-05,40.28,40.26,40.3,40.26,0.04,1,1400000,11,56416500
2017-07-06,40.31,40.35,40.35,40.3,0.09,1,2238000,23,90241780
2017-07-07,40.01,39.99,40.04,39.98,-0.36,-1,2343024,38,93736389
2017-07-10,39.82,39.8,39.82,39.79,-0.19,-1,1740000,22,69252900
2017-07-11,39.87,39.84,39.88,39.84,0.04,1,1500000,14,59770000
2017-07-12,39.86,39.8,39.86,39.8,-0.04,-1,1986073,26,79083087
2017-07-13,40.0,39.97,40.05,39.96,0.17,1,2279000,31,91142030
2017-07-14,39.73,39.77,39.77,39.64,-0.2,-1,1795000,54,71277370
2017-07-17,39.7,39.75,39.77,39.69,-0.02,-1,2013000,67,79993470
2017-07-18,39.99,39.91,39.99,39.9,0.16,1,1989074,64,79414197
2017-07-19,40.13,40.2,40.25,40.13,0.29,1,2373000,28,95395440
2017-07-20,40.3,40.37,40.37,40.27,0.17,1,2253000,29,90843210
2017-07-21,40.47,40.52,40.56,40.47,0.15,1,2113000,31,85619300
2017-07-24,40.65,40.54,40.67,40.52,0.02,1,2569000,41,104262710
2017-07-25,40.34,40.28,40.34,40.27,-0.26,-1,1453000,16,58562870
2017-07-26,39.79,39.83,39.85,39.79,-0.45,-1,1627000,20,64798790
2017-07-27,39.69,39.71,39.82,39.69,-0.12,-1,2271000,26,90204140
2017-07-28,39.62,39.65,39.66,39.62,-0.06,-1,1405000,16,55696180
2017-07-31,39.85,39.83,39.86,39.83,0.18,1,860000,9,34260000
2017-08-01,39.55,39.57,39.57,39.55,-0.26,-1,1202000,10,47563110
2017-08-02,39.95,40.04,40.04,39.95,0.47,1,1300000,10,52046500
2017-08-03,40.11,40.16,40.25,40.11,0.12,1,1557000,17,62550620
2017-08-04,40.4,40.43,40.56,40.4,0.27,1,1581000,26,63987400
2017-08-07,40.09,40.1,40.1,40.09,-0.33,-1,1501000,14,60188600
2017-08-08,40.15,40.15,40.17,40.15,0.05,1,1250000,10,50211500
2017-08-09,40.17,40.19,40.22,40.17,0.04,1,1505000,15,60490530
2017-08-10,40.3,40.4,40.41,40.3,0.21,1,1426024,16,57524113
2017-08-11,40.78,40.81,40.85,40.78,0.41,1,1554171,20,63429768
2017-08-14,40.54,40.58,40.65,40.54,-0.23,-1,1615000,21,65539910
2017-08-15,40.43,40.35,40.43,40.35,-0.23,-1,1400000,14,56503400
2017-08-16,40.27,40.32,40.32,40.27,-0.03,-1,1300073,12,52380423
2017-08-17,40.45,40.45,40.5,40.45,0.13,1,1352000,13,54688950
2017-08-18,40.71,40.72,40.72,40.69,0.27,1,1353000,16,55069130
2017-08-21,40.7,40.8,40.81,40.7,0.08,1,1700000,20,69320500
2017-08-22,40.85,40.8,40.85,40.79,0.0,0,1453000,18,59284900
2017-08-23,40.65,40.67,40.67,40.65,-0.13,-1,1350000,11,54892000
2017-08-24,40.87,40.87,40.87,40.87,0.2,1,1301000,12,53171870
2017-08-25,39.01,40.84,40.84,39.01,-0.03,-1,2421000,32,98106390
2017-08-28,40.77,40.74,40.77,40.74,-0.1,-1,1203000,10,49022280
2017-08-29,40.97,40.97,40.97,40.96,0.23,1,1301073,13,53292919
2017-08-30,40.8,40.79,40.8,40.77,-0.18,-1,1252000,28,51059580
2017-08-31,40.85,40.86,40.86,40.84,0.07,1,1450000,48,59238000
2017-09-01,40.96,40.92,40.96,40.92,0.06,1,1531000,75,62692700
2017-09-04,40.69,40.64,40.69,40.64,-0.28,-1,1201000,59,48808690
2017-09-05,40.43,40.7,40.7,40.43,0.06,1,1322000,49,53776960
2017-09-06,41.2,41.2,41.2,41.15,0.5,1,1203371,56,49548773
2017-09-07,41.0,40.97,41.0,40.96,-0.23,-1,1251000,70,51270970
2017-09-08,41.24,41.33,41.33,41.24,0.36,1,1210244,59,49964428
2017-09-11,41.01,40.96,41.02,40.96,-0.37,-1,1415000,31,57985550
2017-09-12,40.7,40.68,40.7,40.68,-0.28,-1,1201010,10,48869107
