date,OP,CP,HP,LP,DF,RD,TV,TC,TO
2017-06-22,15.3,15.3,15.4,15.3,0.5,1,240000,13,3679000
2017-06-23,15.7,15.5,15.7,15.4,0.2,1,160000,10,2485000
2017-06-26,15.5,15.6,15.6,15.5,0.1,1,900000,24,13976000
2017-06-27,15.4,15.5,15.5,15.3,-0.1,-1,658000,20,10098700
2017-06-28,15.3,15.3,15.4,15.3,-0.2,-1,461000,16,7071300
2017-06-29,15.4,15.5,15.5,15.4,0.2,1,800000,23,12381000
2017-07-03,15.5,15.6,15.6,15.5,0.1,1,320000,6,4961000
2017-07-04,15.8,15.8,15.8,15.7,0.2,1,320000,9,5055000
2017-07-27,14.1,14.1,14.1,14.1,0.0,0,300000,11,4230000
2017-07-28,13.8,14.0,14.0,13.8,-0.1,-1,1601000,24,22383800
2017-08-02,13.9,14.1,14.1,13.8,0.3,1,1000000,8,13970000
2017-08-03,14.4,15.1,15.1,14.4,1.0,1,958000,9,13993800
