date,OP,CP,HP,LP,DF,RD,TV,TC,TO
2017-06-20,13.1,13.1,13.1,13.1,0.5,1,2000,1,26200
2017-06-22,13.4,13.4,13.4,13.4,0.4,1,1002000,2,13836800
2017-06-28,14.8,14.8,14.8,14.8,0.8,1,1003000,2,14784400
2017-06-29,15.4,15.4,15.4,15.4,0.6,1,3000,1,46200
2017-06-30,15.0,15.2,15.2,15.0,-0.2,-1,40000,2,602000
2017-07-05,13.9,13.9,13.9,13.9,-0.4,-1,2000,1,27800
2017-07-17,13.7,13.7,13.7,13.7,-0.1,-1,2000,2,27400
2017-07-19,13.2,13.2,13.2,13.2,0.0,0,2000,1,26400
2017-07-20,13.7,13.7,13.7,13.7,0.5,1,1000,1,13700
2017-07-25,13.9,13.9,13.9,13.9,-0.1,-1,1000,1,13900
2017-08-08,14.1,14.1,14.1,14.1,-0.4,-1,40000,2,564000
2017-08-14,13.6,13.6,13.6,13.6,0.4,1,4000,1,54400
2017-09-01,17.6,17.6,17.6,17.6,0.7,1,1000,1,17600
2017-09-05,17.1,17.1,17.1,17.1,-0.2,-1,1000,1,17100
