date,OP,CP,HP,LP,DF,RD,TV,TC,TO
2017-06-30,1.05,1.05,1.05,1.05,-0.07,-1,403000,5,423150
2017-07-03,1.04,1.05,1.05,1.04,0.0,0,403000,3,423120
2017-07-04,1.07,1.02,1.07,1.02,-0.03,-1,420000,3,446400
2017-07-05,1.06,1.06,1.06,1.06,0.04,1,30000,1,31800
2017-07-06,1.04,1.2,1.23,1.02,0.14,1,1554000,46,1710230
2017-07-07,1.15,1.14,1.15,1.1,-0.06,-1,2236000,65,2514730
2017-07-10,1.17,1.0,1.17,0.99,-0.14,-1,1766000,44,1915080
2017-07-11,1.02,1.0,1.06,0.99,0.0,0,230000,9,241900
2017-07-12,1.02,0.92,1.04,0.87,-0.08,-1,659000,20,637840
2017-07-13,1.0,1.01,1.07,1.0,0.09,1,716000,25,737900
2017-07-14,1.04,1.06,1.06,1.01,0.05,1,661000,21,681960
2017-07-17,1.09,1.17,1.21,1.09,0.11,1,1059000,42,1227120
2017-07-18,1.29,1.24,1.34,1.24,0.07,1,2643000,104,3413890
2017-07-19,1.27,1.19,1.29,1.18,-0.05,-1,1226000,63,1496160
2017-07-20,1.22,1.29,1.3,1.2,0.1,1,2189000,74,2748990
2017-07-21,1.26,1.35,1.35,1.23,0.06,1,2696000,85,3453340
2017-07-24,1.4,1.22,1.43,1.22,-0.13,-1,1565000,58,2056090
2017-07-25,1.24,1.23,1.24,1.2,0.01,1,241000,11,294430
2017-07-26,1.23,1.32,1.42,1.22,0.09,1,1409000,59,1850860
2017-07-27,1.36,1.24,1.36,1.23,-0.08,-1,1034000,58,1337110
2017-07-28,1.21,1.17,1.25,1.17,-0.07,-1,178000,22,216390
2017-07-31,1.16,1.14,1.16,1.09,-0.03,-1,647000,15,733530
2017-08-01,1.15,1.18,1.22,1.15,0.04,1,898000,21,1053870
2017-08-02,1.18,1.2,1.26,1.17,0.02,1,401000,18,487970
2017-08-03,1.18,1.29,1.29,1.16,0.09,1,1548000,42,1907150
2017-08-04,1.25,1.37,1.39,1.25,0.08,1,2611000,77,3521770
2017-08-07,1.41,1.3,1.41,1.29,-0.07,-1,1756000,63,2322980
2017-08-08,1.33,1.23,1.33,1.17,-0.07,-1,463000,17,570090
2017-08-09,1.31,1.19,1.37,1.19,-0.04,-1,1288000,42,1611280
2017-08-10,1.21,0.98,1.21,0.97,-0.21,-1,1446000,50,1499220
2017-08-11,0.95,0.94,0.95,0.9,-0.04,-1,713000,13,655280
2017-08-14,0.92,0.77,0.93,0.77,-0.17,-1,1036000,52,925820
2017-08-15,0.86,0.82,0.88,0.79,0.05,1,889000,19,733560
2017-08-16,0.8,0.86,0.86,0.8,0.04,1,644000,17,537550
2017-08-17,0.87,0.85,0.89,0.81,-0.01,-1,1588000,29,1332390
2017-08-18,0.77,0.83,0.84,0.76,-0.02,-1,1053000,20,822090
2017-08-21,0.84,0.87,0.89,0.83,0.04,1,1290000,43,1101090
2017-08-22,0.89,0.94,0.96,0.87,0.07,1,2180000,63,2016010
2017-08-23,0.95,0.91,0.98,0.9,-0.03,-1,1454000,51,1349050
2017-08-24,0.91,0.96,0.96,0.91,0.05,1,2124000,85,1972660
2017-08-25,0.99,1.07,1.08,0.96,0.11,1,2079000,66,2095900
2017-08-28,1.05,1.09,1.1,1.01,0.02,1,3037000,62,3206110
2017-08-29,1.06,1.13,1.14,1.06,0.04,1,2091000,64,2316370
2017-08-30,1.22,1.34,1.39,1.16,0.21,1,3270000,103,4274080
2017-08-31,1.38,1.41,1.51,1.34,0.07,1,2440000,68,3453200
2017-09-01,1.44,1.41,1.44,1.34,0.0,0,1418000,34,1973410
2017-09-04,1.38,1.36,1.41,1.33,-0.05,-1,416000,14,572940
2017-09-05,1.38,1.49,1.53,1.38,0.13,1,2137000,46,3182950
2017-09-06,1.49,1.4,1.5,1.35,-0.09,-1,2210000,52,3204360
2017-09-07,1.43,1.61,1.84,1.38,0.21,1,2487000,121,3797910
2017-09-08,1.62,1.75,1.79,1.5,0.14,1,1735000,108,2853470
2017-09-11,1.74,1.64,1.74,1.59,-0.11,-1,517000,58,862700
2017-09-12,1.66,1.46,1.66,1.44,-0.18,-1,48000,5,73740
