上櫃股票行情(含等價、零股、盤後、鉅額交易)
Data Date:106/07/26
代號,名稱,收盤 ,漲跌,開盤 ,最高 ,最低,均價 ,成交股數  ,成交金額(元),成交筆數 ,最後買價,最後賣價,發行股數 ,次日參考價 , 次日漲停價 ,次日跌停價
"006201","元大富櫃50","13.35","+0.10","13.36","13.45","13.31","13.35","113,000","1,508,520","34","13.35","13.40","22,446,000","13.35","14.68","12.02"
"00679B","元大美債20年","39.02","-0.46 ","39.10","39.10","38.96","39.00","1,917,000","74,764,010","61","39.01","39.04","641,192,000","39.02","42.92","35.12"
"00687B","國泰20年美債","40.36","-0.47 ","40.35","40.37","40.35","40.36","257,000","10,372,520","18","40.36","40.37","122,787,000","40.36","44.39","36.33"
"00694B","富邦美債1-3","40.31","+0.06","40.31","40.32","40.28","40.30","2,450,000","98,728,400","41","40.30","40.32","5,576,000","40.31","44.34","36.28"
"00695B","富邦美債7-10","39.91","-0.13 ","39.91","39.94","39.91","39.93","1,600,000","63,893,600","17","39.91","39.92","6,186,000","39.91","43.90","35.92"
"00696B","富邦美債20年","39.83","-0.45 ","39.79","39.85","39.79","39.83","1,627,000","64,798,790","20","39.81","39.83","4,681,000","39.83","43.81","35.85"
"00697B","元大美債7-10","39.50","-0.13 ","39.44","39.51","39.44","39.50","1,806,000","71,336,650","30","39.49","39.51","14,712,000","39.50","43.45","35.55"
"1258","其祥-KY","36.90","-0.05 ","36.95","37.00","36.90","36.97","34,000","1,256,850","24","36.90","37.00","36,816,458","35.60","39.10","32.05"
"1259","安心","94.80","+3.10","92.50","95.80","92.00","93.01","15,104","1,404,760","21","92.40","93.80","32,389,500","94.80","104.00","85.40"
"1264","德麥","226.00","-2.50 ","228.50","228.50","226.00","227.29","33,598","7,636,641","53","226.00","226.50","33,695,970","226.00","248.50","203.50"
"1333","恩得利","3.88","+0.03","4.06","4.06","3.83","3.88","5,406","20,990","8","3.86","3.88","61,515,375","3.88","4.26","3.50"
"1336","台翰","17.10","-0.40 ","17.50","17.50","17.10","17.32","2,794,355","48,409,186","839","17.10","17.15","62,753,230","17.10","18.80","15.40"
"1565","精華","620.00","-7.00 ","635.00","635.00","618.00","623.10","239,520","149,245,400","244","619.00","620.00","50,416,516","620.00","682.00","558.00"
"1566","捷邦","17.70","+0.05","17.65","17.75","17.65","17.70","110,203","1,950,871","74","17.65","17.75","66,467,028","17.05","18.75","15.35"
"1569","濱川","44.00","-1.00 ","45.30","45.50","43.55","44.47","3,257,100","144,858,828","1,952","44.00","44.10","100,534,704","44.00","48.40","39.60"
"1570","力肯","14.90","-0.05 ","14.90","14.95","14.75","14.87","130,000","1,933,300","48","14.80","14.90","51,500,839","14.90","16.35","13.45"
"1580","新麥","173.50","-3.50 ","175.50","176.00","173.50","174.35","208,910","36,424,382","202","173.50","174.00","48,531,634","173.50","190.50","156.50"
"1584","精剛","12.75","+0.05","12.70","12.85","12.70","12.76","284,477","3,628,706","125","12.75","12.80","82,470,533","12.75","14.00","11.50"
"1586","和勤","28.65","+0.10","28.85","28.85","28.15","28.47","820,664","23,366,554","210","28.50","28.65","70,160,118","28.65","31.50","25.80"
"1591","駿吉-KY","27.95","-0.05 ","27.60","27.95","27.00","27.50","28,000","770,100","17","27.55","28.00","30,149,825","27.95","30.70","25.20"
"1593","祺驊","40.60","-0.20 ","40.70","40.70","40.60","40.62","26,006","1,056,296","18","40.60","40.85","30,300,560","40.60","44.65","36.55"
"1595","川寶","62.10","+0.10","62.80","63.00","62.00","62.58","130,200","8,148,300","83","62.10","62.20","40,621,820","62.10","68.30","55.90"
"1597","直得","58.70","+0.70","58.90","60.30","58.20","59.17","2,429,610","143,756,399","1,591","58.60","58.70","62,045,489","57.70","63.40","52.00"
"1599","宏佳騰","51.50","0.00 ","51.80","52.00","51.50","51.69","45,788","2,366,782","46","51.50","51.70","51,727,599","51.50","56.60","46.35"
"1742","台蠟","10.90","+0.15","10.65","11.00","10.50","10.70","132,002","1,412,972","47","10.80","10.95","72,240,524","10.90","11.95","9.81"
"1752","南光","39.90","+0.30","39.65","40.55","39.65","39.92","175,192","6,994,431","121","39.90","39.95","100,988,472","39.90","43.85","35.95"
